TWEETS,KEYWORDS,FINE-GRAINED,REASONS
Professor (Mrs.) Rita Akosua Dickson First ever female Vice Chancellor of KNUST since 1952 and Yvonne Osei Addobea the First ever female SRC President of KNUST since 1952. They will both leave office at the end of the 2023/24 Academic Year Ama Nkrumah university of Science and Technology ðŸ¤£. God bless you all ðŸ˜Š,"female Vice Chancellor, female SRC President",optimistic,The tweet suggests optimism for the future of female leadership at KNUST.
That's good to know the worst administration since 1962,worst administration,frustrated,The tweet expresses frustration with the current administration.
Girls schoolðŸ˜¹,Girls school,ambivalent,The tweet has an ambivalent tone about the topic.
Yvonne Osei Adobea weâ€™re proud!!!! first female src president of KNUST!!!! ðŸ¤ŒðŸ¾ðŸ’›,first female src president,delighted,The tweet conveys delight and pride.
we taya give them VC ben koraaa nie,VC,frustrated,The tweet expresses frustration regarding the Vice Chancellor.
Check your definition for feminism and you will know feminism has nothing to here. But wait ðŸ«¸ are you pained because we voted for a female?,"feminism, voted for a female",ambivalent,The tweet expresses ambivalence regarding feminism and voting for a female candidate.
"Naa, the KNUST we used to know has changed Choosing a female doesn't mean it's feminism they've chosen masculinity saaa still nothing better massa make we think","KNUST has changed, chosen masculinity",ambivalent,The tweet has an ambivalent tone about the changes at KNUST.
"Have you ever talked about the poor management before, about 71 years old institution and yet student have to carry chairs from one lecture hall to another for lectures. You donâ€™t want to wash the dirty cloth outside right?","poor management, carry chairs, lecture hall, dirty cloth",frustrated,The tweet expresses frustration with poor management and the state of lecture halls.
Students who are passionate about food security and entrepreneurship are entreated to join YAF AGRITALK 2023 to learn about how they can utilize their skills and program of study to become a millionaire in agripreneurship as they work towards a sustainable future,"food security, entrepreneurship, utilize skills",optimistic,The tweet encourages students to join a program with an optimistic outlook for their future.
"The 2023 KNUST Students Election has come to a successful end .The next stage of it is the declaration of the electoral results by the EC Yvonne won the Election total votes of 8,282 which represents 37.37% of the total vote cast making her the first female KNUST Student to reach this vote margin in history of KNUST Students Election","KNUST Students Election, successful end, Yvonne, total votes, first female, vote margin",delighted,The tweet expresses delight over the successful election and the first female student's achievement.
"Effect from January 2023?4 The consistency in payment is the issue not the incremen $62 and @VOICE_of_KNUST is excited ignoring inflation, depreciation and interest rates hike. Don't jump into NPP PR gimmicks. Stay focused. Hostel accommodation, cost of living on campus and school fees keep increasing. These should be matters of concern.","January 2023, consistency in payment, inflation, depreciation, interest rates, hostel accommodation, cost of living, school fees",frustrated,The tweet expresses frustration about increasing costs and questions the excitement about payment changes.
"""You blame your parents for you being poor, now it's your turn to change the narrative""ðŸ‘€","blame parents, poor, change the narrative",optimistic,The tweet suggests optimism for changing one's financial situation.
She do well. Then times na I fit set better than this at 92.28 but na the VC dey vex me so I sheda drop. Is she single tho ?,"do well, times, VC, vex",ambivalent,The tweet has an ambivalent tone about performance and includes a personal inquiry.
"Then they will tell him ""edwuma nni h)"" the ones available too need 3yrs working experience. 90.40 is just a number in book","""edwuma nni h)"", 3yrs working experience",frustrated,The tweet expresses frustration about job requirements.
Do you know the number of opportunities that come your way with such a CWA?â€¦Donâ€™t be deceived,"opportunities, CWA",optimistic,The tweet suggests optimism about opportunities related to one's CWA.
We are too fixated in Records Breaking News yet little did we here their breakthrough patent to be celebrated I acknowledged her brilliant but @KNUSTGH should focus more on global innovative breakthrough that will inspire greatness The Legend Lives On ðŸ™Œ,"fixated, Records Breaking News, breakthrough patent, global innovative breakthrough",optimistic,The tweet expresses optimism for focusing on global innovation.
I think comparing overall CWA for different faculties to me is absurd. The complexity of engineering can never be compared to that in business yet every year KNUST does that. It's easy to get first class but the same cannot be said about engineering and the natural sciences.,"comparing CWA, different faculties, complexity of engineering, natural sciences",frustrated,The tweet expresses frustration about comparing CWAs across faculties.
"At the end, we all go get the same medal thoðŸ˜‚",same medal,neutral,The tweet has a neutral tone about receiving the same medal.
Mine is 96.3-80. She's not special biaa,not special,neutral,The tweet has a neutral tone about someone's CWA.
Share with us one lesson life has thought you.Either Good or Bad,"lesson, life",neutral,The tweet requests lessons learned from life.
"If you turn on the light, the light goes off. If you turn off the light, it doesnâ€™t mean the farmers cow will fly because the boat had a flat tire while drifting in the desert.ðŸ˜«ðŸ’”","turn on the light, light goes off, turn off the light, farmers cow, boat, flat tire, drifting in the desert",ambivalent,The tweet has an ambivalent tone and includes a metaphorical statement.
Take opportunities,opportunities,optimistic,The tweet encourages taking opportunities with an optimistic tone.
Be yourself,be yourself,neutral,The tweet advises being oneself.
"Wisdom is not just you growing, it's about knowing the word of God and understanding them in life","wisdom, growing, knowing the word of God",neutral,The tweet defines wisdom as knowing the word of God and understanding it in life.
Good things do not always happen yo Good people. You can reap where you've not sewn.,"good things, happen, good people, reap, sewn",neutral,The tweet suggests that good things do not always happen to good people and that you can reap where you haven't sown.
Don't mix business with pleasure.,mix business with pleasure,neutral,The tweet advises against mixing business with pleasure.
"Education is not limited to the classrooms, workshops or excursions. It is an activity involving constant acquisition, assimilation and application of knowledge, skills and expertise to solve problems and effect profound changes in one's life and that of others.","education, classrooms, workshops, excursions, acquisition, assimilation, application, knowledge, skills, expertise, solve problems, effect profound changes",optimistic,The tweet has an optimistic tone about the broad scope of education.
"Even in our darkest moments, thereâ€™s light ðŸ’¡","darkest moments, light",optimistic,The tweet expresses optimism that there is light even in dark moments.
Not everything goes as planned but you appreciate every moment life gives you,"not everything goes as planned, appreciate every moment",optimistic,"The tweet encourages appreciating moments in life, even when things don't go as planned."
life has taught me to always check twice what I typed before tweeting. â˜ºï¸,"check twice, typed before tweeting",neutral,The tweet reflects on a lesson learned about being cautious in online communication.
I want to attend KNUST without certificate but they say no,"attend KNUST, without certificate",frustrated,The tweet expresses frustration about attending KNUST without a certificate.
Truth hurt at times ðŸ˜”,truth hurts,neutral,The tweet acknowledges that truth can be painful at times.
Overthinking no fit solve problem,"overthinking, solve problem",neutral,The tweet advises against overthinking as a problem-solving approach.
The things you focus your thoughts on are what you obtain.,"focus thoughts, obtain",optimistic,The tweet suggests that focusing thoughts on certain things leads to obtaining them.
Life is a journey,life is a journey,neutral,The tweet describes life as a journey.
that no one owes you nothing,no one owes you nothing,neutral,The tweet emphasizes that no one owes you anything.
You are alone in the path to one's destiny,"alone, path to destiny",neutral,The tweet emphasizes individual responsibility in achieving one's destiny.
"Hardwork doesnâ€™t pay, smartwork does.","Hardwork, smartwork",neutral,The tweet suggests that smart work is more effective than hard work.
Your comfort zone is your enemy,"comfort zone, enemy",neutral,The tweet warns against staying in one's comfort zone.
Never attend KNUST,attend KNUST,frustrated,The tweet expresses frustration with attending KNUST.
Life is uncertain. You can move from 100 to zero!,"life is uncertain, move from 100 to zero",neutral,The tweet highlights the uncertainty of life and the possibility of significant change.
Life has thought me not to trust a woman as a VC,not trust a woman as a VC,ambivalent,The tweet expresses ambivalence about trusting a woman as a Vice Chancellor.
No matter what you do people will judge you So keep doing what makes you happy...,"people will judge you, makes you happy",optimistic,The tweet encourages staying true to oneself despite judgment.
Learn to be a fool sometimes in every relationship you find yourself in and don't let money control because money is not what they say it is,"be a fool, relationship, money control",neutral,The tweet advises being open in relationships and not letting money control decisions.
Fake love is real on the street,Fake love,neutral,The tweet discusses the presence of fake love.
Life is not a movie Learn to move on from the past because who hurt you in your past might not need your help when you become rich in the future,"Life is not a movie, move on, hurt you, rich in the future",optimistic,The tweet suggests moving on from the past for a brighter future.
"Ghana really make hard, Six of my paddies fly this month charley, if you are are also interested in leaving the country, check thread of a simple and easy way","Ghana, make hard, leaving the country",frustrated,The tweet expresses frustration with the situation in Ghana and discusses leaving the country.
The lecturer's assessment portal has been opened and will be closed on the 4th of August 2023.NB: This is done to ascertain the real opinion of the students about lecturers and help improve teaching and learning on the KNUST Campus anonymouslyâ—ï¸ðŸ‘€,"lecturer's assessment portal, improve teaching and learning",neutral,The tweet informs about the assessment portal for lecturers and its purpose.
The assessment dier questions like â€œdo u still want to continue with this programmeâ€ for dey inside oo,"assessment, continue with this programme",neutral,The tweet mentions questions in the assessment.
I know that guy holding the phone. He completed Mpass. ðŸ¤”,"guy holding the phone, completed Mpass",neutral,The tweet identifies someone and their qualification.
"""It's really great to be here visiting for the first time the KNUST and I want to say congratulations to winning the award from the Times Higher Education for Best university in Quality Education. Am looking forward to being here then learning more about this Great university.""Professor Melissa Nobles, Chancellor, MIT","KNUST, Times Higher Education, Quality Education, Great university",delighted,The tweet expresses delight about KNUST's award and mentions a positive outlook.
You have exactly 20 Days more to begin the End of Second Semester Examinations for the KNUST 2022/23 Academic yearâ—ï¸ðŸ‘€,"End of Second Semester Examinations, KNUST, Academic year",neutral,The tweet provides information about upcoming exams.
ur future wives should hurry up and come home,"future wives, hurry up",neutral,The tweet humorously addresses future relationships.
"I'm a freshman architectural design student in knust , and ever since I came to the University I've always felt like a disappointment ðŸ˜¥, I've been going through anxiety and been feeling depressed lately , I'm not thinking of doing anything stupid ðŸ˜ž buh .......","freshman, architectural design student, disappointment, anxiety, depressed",stressed and anxious,"The tweet expresses feelings of disappointment, anxiety, and depression in a student."
"A Special Good Evening from the KNUST Main Entrance - Tech Junction. Remember the Keyword here is ""Globally""ðŸ‘€â—ï¸","KNUST Main Entrance, Tech Junction, Globally",neutral,The tweet greets from KNUST and mentions a keyword.
AI and Emerging Technologies; a Blessing or a Curse to higher educationâ“ðŸ‘€What is your take â“,"AI, Emerging Technologies, Blessing, Curse, higher education",ambivalent,The tweet discusses the impact of AI and emerging technologies on higher education with an ambivalent tone.
"Whether it is a curse or a blessing depends on how we embrace it. The advent of Smartphones had the same argument. But now, we all look at the brighter side of it more.","curse or blessing, embrace it, Smartphones",optimistic,The tweet suggests that the perspective on whether something is a curse or blessing depends on how it's embraced.
The provisional timetable for the KNUST 2022/2023 End of Second Semester Examination for the various colleges has been released,"provisional timetable, End of Second Semester Examination, various colleges",neutral,The tweet informs about the release of the examination timetable.
"There's nothing as exciting as a comeback â€“ seeing someone with dreams, watching them fail, and then getting a second chance'ðŸ‘€","exciting as a comeback, dreams, fail, second chance",optimistic,The tweet expresses excitement about comebacks and second chances.
"You like motivational quotes too much, sometimes you for send item 13 updates","motivational quotes, item 13 updates",frustrated,The tweet humorously comments on the frequency of motivational quotes.
"Still wondering how come Rockson didnâ€™t win the election, ffs ðŸ¤¦â€â™‚ï¸ Iâ€™m never going to trust convoy again","Rockson, win the election, trust convoy",frustrated,The tweet expresses frustration and disbelief regarding an election outcome.
"Every year students of KNUST have to face accommodation challenges from both internal and external management of hostels. Why should hostel prices be increased by about GHÂ¢ 2, 000 within 8 months or it's just because students have no other alternative to choose fromðŸ’”ðŸ’”","accommodation challenges, hostel prices, increased, alternative",frustrated,The tweet questions the increase in hostel prices and mentions accommodation challenges.
This hostel fee problem hmmm!. Boys like school but something like this will send us back and makes us drop-outs,"hostel fee problem, school, drop-outs",frustrated,The tweet expresses frustration about hostel fees potentially causing students to drop out.
"Loud am for us, na it's too much",too much,frustrated,The tweet reiterates frustration with the situation.
"Charley this thing it happens every year, youâ€™ve talked saaa, at the end nothing happens ðŸ˜‚ðŸ˜‚","happens every year, talked, nothing happens",frustrated,The tweet expresses frustration about the recurring issue and inaction.
"Charley this thing it happens every year, youâ€™ve talked saaa, at the end nothing happens ðŸ˜‚ðŸ˜‚","happens every year, talked, nothing happens",frustrated,The tweet reiterates frustration about the issue's recurrence and lack of action.
"The question is ""We came to learn or we came to sleep?"" We are really suffering","We came to learn or we came to sleep, suffering",frustrated,The tweet discusses the purpose of attending university and the challenges faced.
You see what Iâ€™ve been talking about? If a student kills himself/herself you will see them talking about counsellingâ€¦ counselling for what??â€¦ No! .. the school needs to fix itselfâ€¦ all these counts! SMH,"counselling, fix itself",frustrated,The tweet criticizes the need for counseling and calls for the university to address its issues.
"Just understand that the university is a business, they find ways to collect your money and they give you a certificate at the end. They donâ€™t care about anyone. What they care is the money they making.","university is a business, collect money, certificate",frustrated,The tweet criticizes the university's profit-focused approach.
"Brunei and hall 7: 4 in a room reach 4,7plus eei lool anyways Vote for Miriam Quansah as your SRC GEN.SECRETARY","Brunei, hall 7, 4 in a room, SRC GEN.SECRETARY",neutral,The tweet mentions hostel arrangements and an SRC election.
"Same room, same building. You just stand up to increase it by 2k, 3k. Why is the black man so wicked","same room, increase, wicked",frustrated,The tweet questions the rationale behind increasing fees for the same accommodation.
Wicked people yet be claiming religiousâ€¦ smh,"wicked, religious",frustrated,The tweet expresses frustration about hypocrisy.
"This case is a very serious one. It seems the university too is adamant about it. They have seen everything but are not saying anything about it all because they are also charging higher prices. If they don't do something about it, in no time, even students won't prefer to be admitted there","serious case, university, charging higher prices, admitted",frustrated,The tweet discusses the seriousness of the issue and the university's inaction.
Even the hen coop called Tek Credit hostel has increased hostel prices by close to 2000 cedis for 3 in a room (3950 to 5800),"Tek Credit hostel, increased hostel prices",frustrated,The tweet mentions a specific hostel's price increase.
"You know right... Hmm, they know you can't sleep outside lol ðŸ˜‚ so you definitely have to pay","can't sleep outside, pay",neutral,The tweet humorously acknowledges the necessity of paying for accommodation.
"There's nothing bad in a man asking you personal questions. Angels will not ask you no matter how deep your consecration is, allow a man to win your heart.â€","personal questions, win your heart",neutral,The tweet advises not to be wary of personal questions.
"3,864,000.00 to students who demonstrate exceptional academic abilities but lack the necessary resources","exceptional academic abilities, lack necessary resources",neutral,The tweet mentions a scholarship for academically talented students.
Ten years from now you'll laugh at whatever's stressing you out at KNUST today. So why not laugh now? There's so much to smile about today â¤ï¸,"stress, laugh, smile",optimistic,The tweet encourages looking ahead to a brighter future and finding reasons to smile now.
Lets fix what is stressing. It's hard to smile in pain.,"fix what is stressing, hard to smile",frustrated,The tweet acknowledges the need to address stress and its impact on one's mood.
